Oct 26 (Thu) 14:37 | === Logging started
Oct 26 (Thu) 14:37 | >>> Station: SomaFM Groove Salad
Oct 26 (Thu) 14:37 |     Andain - You Once Told Me
Oct 26 (Thu) 14:37 |     Andain - You Once Told Me (LIKED)
Oct 26 (Thu) 14:37 | === Logging stopped
Oct 30 (Mon) 08:49 | === Logging started
Oct 30 (Mon) 08:49 | >>> Station: SomaFM Groove Salad
Oct 30 (Mon) 08:49 |     St. Germain - Sure Thing
Oct 30 (Mon) 08:49 |     St. Germain - Sure Thing (LIKED)
Oct 30 (Mon) 08:49 | === Logging stopped
Nov 03 (Fri) 01:41 | === Logging started
Nov 03 (Fri) 01:41 | >>> Station: SomaFM Groove Salad
Nov 03 (Fri) 01:41 |     Thievery Corporation - Tower Seven
Nov 03 (Fri) 01:41 |     Thievery Corporation - Tower Seven (LIKED)
Nov 03 (Fri) 01:41 | === Logging stopped
Nov 03 (Fri) 10:47 | === Logging started
Nov 03 (Fri) 10:47 | >>> Station: SomaFM Groove Salad
Nov 03 (Fri) 10:47 |     Reef Project - Pacific Flying
Nov 03 (Fri) 10:47 |     Reef Project - Pacific Flying (LIKED)
Nov 03 (Fri) 10:47 | === Logging stopped
Nov 07 (Tue) 15:29 | === Logging started
Nov 07 (Tue) 15:29 | >>> Station: Groove Salad Classic (Early 2000s Ambient)
Nov 07 (Tue) 15:29 |     William Orbit - Water From A Vine Leaf
Nov 07 (Tue) 15:29 |     William Orbit - Water From A Vine Leaf (LIKED)
Nov 07 (Tue) 15:29 | === Logging stopped
Nov 09 (Thu) 16:34 | === Logging started
Nov 09 (Thu) 16:34 | >>> Station: SomaFM Groove Salad
Nov 09 (Thu) 16:34 |     Yoshinori Sunahara - Rhodes Funky Dub (Interlude)
Nov 09 (Thu) 16:34 |     Yoshinori Sunahara - Rhodes Funky Dub (Interlude) (LIKED)
Nov 09 (Thu) 16:34 | === Logging stopped
Nov 10 (Fri) 22:11 | === Logging started
Nov 10 (Fri) 22:11 | >>> Station: SomaFM Groove Salad
Nov 10 (Fri) 22:11 |     Leggo Beast - The New Deal
Nov 10 (Fri) 22:11 |     Leggo Beast - The New Deal (LIKED)
Nov 10 (Fri) 22:11 | === Logging stopped
Nov 14 (Tue) 10:03 | === Logging started
Nov 14 (Tue) 10:03 | >>> Station: SomaFM Groove Salad
Nov 14 (Tue) 10:03 |     G.O.L. - Soma Holiday
Nov 14 (Tue) 10:03 |     G.O.L. - Soma Holiday (LIKED)
Nov 14 (Tue) 10:03 | === Logging stopped
Dec 05 (Tue) 14:02 | === Logging started
Dec 05 (Tue) 14:02 | >>> Station: SomaFM Groove Salad
Dec 05 (Tue) 14:02 |     Gabor Deutsch - Sunday Morning
Dec 05 (Tue) 14:02 |     Gabor Deutsch - Sunday Morning (LIKED)
Dec 05 (Tue) 14:02 | === Logging stopped
Dec 18 (Mon) 14:07 | === Logging started
Dec 18 (Mon) 14:07 | >>> Station: Groove Salad Classic (Early 2000s Ambient)
Dec 18 (Mon) 14:07 |     Dallam - I-sense
Dec 18 (Mon) 14:07 | === Logging stopped
Dec 18 (Mon) 14:07 | === Logging started
Dec 18 (Mon) 14:07 | >>> Station: Groove Salad Classic (Early 2000s Ambient)
Dec 18 (Mon) 14:07 |     Dallam - I-sense
Dec 18 (Mon) 14:07 |     Dallam - I-sense (LIKED)
Dec 18 (Mon) 14:07 | === Logging stopped
Jan 05 (Fri) 12:01 | === Logging started
Jan 05 (Fri) 12:01 | >>> Station: Groove Salad Classic (Early 2000s Ambient)
